datetime,npu,actual,rf_pred,xgb_pred,prophet_pred
2024-01-17,R,1,2.0,2.0,2.0
2024-01-18,R,1,1.8,1.8,1.8
2024-01-20,R,1,1.6666666666666667,1.6666666666666667,1.6666666666666667
2024-01-23,R,4,2.0,2.0,2.0
2024-01-26,R,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-01-29,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-01-30,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-02-01,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-02-05,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-02-06,R,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-02-07,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-02-09,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-16,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-20,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-21,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-24,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-02-25,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-26,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-02-28,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-04,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-06,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-09,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-10,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-11,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-12,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-13,R,3,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-03-14,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-16,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-17,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-19,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-20,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-21,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-03-22,R,2,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-23,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-25,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-27,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-28,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-04-03,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-04-05,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-04-09,R,1,1.0,1.0,1.0
2024-04-13,R,1,1.0,1.0,1.0
2024-04-24,R,1,1.0,1.0,1.0
2024-04-25,R,1,1.0,1.0,1.0
2024-04-28,R,1,1.0,1.0,1.0
2024-04-29,R,1,1.0,1.0,1.0
2024-05-01,R,1,1.0,1.0,1.0
2024-05-02,R,3,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-05-05,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-05-07,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-05-08,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-10,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-11,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-14,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-16,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-05-19,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-05-20,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-05-22,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-05-24,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-05-25,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-05-27,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-05-28,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-29,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-05-30,R,4,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-06-02,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-06-04,R,2,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-06-09,R,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-06-12,R,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-06-14,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-06-17,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-06-20,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-06-22,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-06-24,R,1,1.0,1.0,1.0
2024-06-25,R,1,1.0,1.0,1.0
2024-06-27,R,1,1.0,1.0,1.0
2024-06-28,R,1,1.0,1.0,1.0
2024-06-30,R,1,1.0,1.0,1.0
2024-07-01,R,1,1.0,1.0,1.0
2024-07-03,R,1,1.0,1.0,1.0
2024-07-05,R,3,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-07-06,R,3,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-07-07,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-07-09,R,2,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-07-14,R,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-07-15,R,2,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-07-16,R,1,1.8571428571428572,1.8571428571428572,1.8571428571428572
2024-07-18,R,2,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-07-19,R,2,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-07-20,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-07-21,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-07-22,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-07-25,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-07-26,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-07-31,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-08-02,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-08-04,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-08-05,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-08-06,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-08-09,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-08-12,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-08-14,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-08-15,R,3,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-08-17,R,1,1.7142857142857142,1.7142857142857142,1.7142857142857142
2024-08-18,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-08-21,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-08-22,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-08-23,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-08-24,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-08-25,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-08-26,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-08-27,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-08-29,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-09-02,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-09-03,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-09-04,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-09-05,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-09-06,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-09-11,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-09-13,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-09-14,R,3,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-09-17,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-09-19,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-09-20,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-09-22,R,3,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-09-23,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-09-24,R,1,1.5714285714285714,1.5714285714285714,1.5714285714285714
2024-09-27,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-09-29,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-09-30,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-02,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-10-03,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-10-05,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-10-06,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-07,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-08,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-11,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-13,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-10-15,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-16,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-17,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-24,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-10-27,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-11-01,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-11-04,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-11-05,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-11-07,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-11-20,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-21,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-22,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-24,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-25,R,1,1.0,1.0,1.0
2024-11-26,R,2,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-28,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-11-29,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-02,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-03,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-04,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-06,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-09,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-11,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-12,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-14,R,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-12-17,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-18,R,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-19,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-26,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-27,R,1,1.2857142857142858,1.2857142857142858,1.2857142857142858
2024-12-29,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-12-30,R,1,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-12-31,R,2,1.4285714285714286,1.4285714285714286,1.4285714285714286
2024-01-02,S,1,1.0,1.0,1.0
2024-01-03,S,1,1.0,1.0,1.0
2024-01-04,S,1,1.0,1.0,1.0
2024-01-08,S,1,1.0,1.0,1.0
2024-01-10,S,1,1.0,1.0,1.0
2024-01-15,S,2,1.1666666666666667,1.1666666666666667,1.1666666666666667
2024-01-18,S,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-01-19,S,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-01-21,S,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-01-23,S,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-01-26,S,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-01-30,S,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-02-01,S,1,1.0,1.0,1.0
2024-02-11,S,2,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-02-15,S,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-02-20,S,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-02-26,S,1,1.1428571428571428,1.1428571428571428,1.1428571428571428
2024-03-03,S,2,1.2857142857142858,1.2857142857142858,1.2857142857142858
